Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
132960,2900000,600,-19.9464968,-43.9555997,3,4,2,3,549.91,1308,centro-sul,Luxemburgo,43228,,
1929815,10000000,596,-19.9385153,-43.9558656,4,6,4,7,747,5800,oeste,Gutierrez,43228,,
2540890,2000000,540,-19.928501,-43.925843,4,3,2,3,816.92,2200,centro-sul,Funcionários,43228,Rua Piauí,1029.0
343687,4800000,536,-19.937224,-43.954779,4,5,3,6,1845,3850,oeste,Gutierrez,43228,Rua Almirante Tamandaré,555.0
2340119,800000,524.03,-19.9219157,-43.9431721,4,3,1,0,442.32,1500,centro-sul,Centro,43228,Rua dos Goitacazes,52.0
342914,850000,524,-19.8591828,-43.8820154,7,5,1,6,220,0,nordeste,Jardim Vitória,43228,,
354511,3000000,516,-19.944446,-43.955581,4,4,3,4,961.42,2000,centro-sul,Luxemburgo,43228,,
352326,3800000,507.97,-19.9288792,-43.9443308,4,5,1,4,1078.9,2270,centro-sul,Lourdes,43228,Rua Curitiba,2401.0
168871,4500000,500,-19.9428349,-43.9231687,4,2,4,4,1443.8,3752,centro-sul,Serra,43228,,
46867,4200000,500,-19.938152,-43.924414,5,6,4,4,955.45,1900,centro-sul,Serra,43228,,
3251560,2200000,499.2,-19.9343998,-43.9456067,4,3,1,2,707.29,1485,centro-sul,Santo Agostinho,43228,Rua Felipe dos Santos,869.0
332054,3700000,471.19,-19.9434252,-43.9199524,4,0,2,5,1659.3,3600,centro-sul,Serra,43228,,
354520,3800000,460,-19.933498,-43.944689,4,2,4,4,1266.48,4400,centro-sul,Lourdes,43228,Rua Antônio Aleixo ,634.0
14896,1250000,451,-19.9694148,-43.9688375,4,3,1,3,484.74,528.75,oeste,Buritis,43228,Rua Ernani Agricola,410.0
2358605,2800000,442.44,-19.9527308,-43.927865,4,3,2,5,1142.08,2500,centro-sul,Anchieta,43228,Rua Eugênio Murilo Rubião,33.0
9042,2400000,440,-19.937607,-43.950442,4,5,4,2,525,1150,centro-sul,Cidade Jardim,43228,Rua Eduardo Porto,624.0
1534567,990000,440,-19.9365528,-43.9321899,4,1,1,2,315.18,352,centro-sul,Funcionários,43228,Avenida Getúlio Vargas,1299.0
63907,1500000,430,-19.8896628,-43.9279177,5,5,2,5,380,1000,leste,Cidade Nova,43228,Rua Júlio Pereira da Silva,100.0
11811,1900000,421,-19.940103,-43.9223487,5,7,3,4,1178.03,2500,centro-sul,Serra,43228,,
359915,1650000,420.12,-19.969076,-43.966743,5,5,2,2,890,1100,oeste,Estoril,43228,,
1609100,2500000,415.51,-19.931638,-43.936373,5,4,2,2,620.81,1800,centro-sul,Lourdes,43228,Rua Gonçalves Dias,1316.0
1671744,1300000,384,-19.882361,-43.92819,4,5,2,3,354,800,nordeste,União,43228,Rua Flor-de-jequitibá,45.0
1329526,2700000,380,-19.936965,-43.9272235,3,5,3,4,814.46,1900,centro-sul,Savassi,43228,Rua Maranhão,1737.0
3251311,1300000,380,-19.8824323,-43.9330733,4,4,1,4,262,1106,centro-sul,Santa Lúcia,43228,,
64545,999000,380,-19.9462035,-43.9526127,4,2,1,2,232,600,centro-sul,Luxemburgo,43228,,
2724612,2800000,375.4,-19.9392739,-43.9224274,4,4,2,3,823.01,2000,centro-sul,Serra,43228,,
58756,1780000,365,-19.9238227,-43.925972,5,2,1,4,650,1700,centro-sul,Funcionários,43228,,
1736182,1300000,361.47,-19.9522691,-43.9237734,4,4,1,1,444.22,1200,centro-sul,Anchieta,43228,Rua Joaquim Lustosa,71.0
170361,1800000,356,-19.8923782,-43.9241723,4,4,1,5,400,800,leste,Cidade Nova,43228,Rua Irmãos Kennedy,123.0
359213,1590000,350,-19.9422077,-43.9185588,3,2,1,2,249.43,820,centro-sul,Serra,43228,,
1756342,3800000,348,-19.9260629,-43.9516643,4,5,2,4,1412.54,1550,centro-sul,Santo Agostinho,43228,,
11529,1650000,346,-19.9707391,-43.9662714,4,2,4,5,0,650,oeste,Buritis,43228,Rua Engenheiro Alberto Pontes,90.0
29670,1100000,344.79,-19.947767,-43.920134,3,2,1,3,328,980,centro-sul,Mangabeiras,43228,,
3247325,1900000,342,-19.8597709,-43.952523,0,5,2,5,703,896.76,pampulha,Liberdade,43228,Rua Antônio Paulino de Castro,260.0
3244938,990000,340,-19.9016163,-43.9186264,4,4,2,3,281,700,leste,Sagrada Família,43228,Rua Maria Martins Guimarães,495.0
33952,1550000,330,-19.9593495,-43.9373851,4,3,2,3,696,1000,centro-sul,Sion,43228,,
50575,1500000,330,-19.8583477,-43.9619113,4,6,2,4,458,800,pampulha,São Luiz (pampulha),43228,,
20912,3350000,329.13,-19.971316,-43.9422818,4,6,3,4,1300,2452.18,centro-sul,Belvedere,43228,,
7373,2800000,328.49,-19.939211,-43.930399,4,3,2,3,867.08,2258,centro-sul,Funcionários,43228,,
333818,1700000,328,-19.9411316,-43.9577806,4,7,4,4,492.86,1100,oeste,Gutierrez,43228,,
1889761,3850000,324.73,-19.9729606,-43.9399346,4,6,4,5,2089.86,3308,centro-sul,Belvedere,43228,,
40807,1880000,324.63,-19.9588797,-43.9494715,4,5,3,4,789,650,centro-sul,São Bento,43228,,
3247421,1860000,322.95,-19.9287591,-43.9280632,4,4,2,4,850,1800,centro-sul,Santa Efigênia,43228,,
1525323,1350000,320,-19.9681264,-43.9708349,5,4,3,4,640.1,1100,oeste,Buritis,43228,Rua Fidélis Martins,85.0
3246921,1016253,319.54,-19.9407289,-43.9285285,3,3,2,2,1,1,centro-sul,Funcionários,43228,Rua Minas Novas,14.0
3250257,945000,318,-19.8683769,-43.917987,4,3,2,4,146.34,300,nordeste,Pirajá,43228,,
3248924,700000,317.27,-19.950209,-43.925,5,4,2,1,376,500,centro-sul,Sion,43228,,
3233973,1600000,314.47,-19.9420766,-43.9206875,4,5,2,3,500,1800,centro-sul,Serra,43228,Rua Caraça,235.0
3240093,800000,311,-19.9209663,-43.9417948,4,4,1,1,222.09,1260,centro-sul,Centro,43228,,
331302,850000,310,-19.8871093,-43.9210044,5,4,1,2,291.33,0,nordeste,União,43228,Rua Doutor Benjamim Moss,95.0
292228,1400000,305.57,-19.969338,-43.966889,3,4,3,4,463.77,900,oeste,Buritis,43228,Rua Engenheiro Alberto Pontes,123.0
3244832,1300000,302,-19.8865504,-43.9255365,4,4,1,3,521,850,leste,Sagrada Família,43228,,
130262,2700000,300,-19.9465796,-43.9374046,4,4,2,4,500,900,centro-sul,Sion,43228,,
127981,1700000,300,-19.9315202,-43.9470804,4,2,2,3,355,1800,centro-sul,Santo Agostinho,43228,Avenida Olegário Maciel,1903.0
157167,980000,300,-19.8746462,-43.9310397,4,3,1,3,293.51,400,nordeste,Palmares,43228,Rua Professor Patrocínio Filho,296.0
366388,950000,300,-19.9210555,-43.9411062,4,2,1,1,170.46,1000,centro-sul,Centro,43228,,
2356731,2200000,290,-19.9323725,-43.9395783,4,3,1,3,620.58,1500,centro-sul,Lourdes,43228,,
2071541,1100000,290,-19.946706,-43.9565785,4,4,2,2,394.85,1200,centro-sul,Luxemburgo,43228,,
3238486,2900000,289.56,-19.9268341,-43.9406053,4,4,2,3,781.33,1739.08,centro-sul,Lourdes,43228,Rua Rio de Janeiro,1848.0
3245443,1370000,286.87,-19.9270011,-43.9667166,4,3,2,3,333,850,oeste,Prado,43228,Rua Rio Negro,107.0
3250418,1249000,285,-19.8610924,-43.9537178,4,4,2,4,402,570,pampulha,Liberdade,43228,Rua Doutor Teles,306.0
154520,798000,285,-19.9760537,-43.9683906,4,3,1,3,292.76,350,oeste,Buritis,43228,,
87571,795000,284.98,-19.9374268,-43.963736,4,3,1,2,200,550,oeste,Gutierrez,43228,,
3239776,1280000,284,-19.8811836,-43.9228306,4,5,2,4,0,0,nordeste,União,43228,Rua Johnson,92.0
3230598,1390000,282,-19.93005,-43.967942,5,4,1,3,345,570,oeste,Prado,43228,Rua Atenas,128.0
1574599,2300000,280,-19.87524,-43.982564,4,3,2,2,257,350,pampulha,Ouro Preto,43228,,
3240255,1860000,280,-19.9458332,-43.9225802,4,3,3,3,557.37,2300,centro-sul,Serra,43228,,
3251975,1590000,280,-19.9268822,-43.9619529,5,3,1,3,256,740,oeste,Prado,43228,Rua Esmeralda,562.0
1941563,1290000,280,-19.8362971,-43.9596023,4,3,2,4,577.92,350,pampulha,Itapoã,43228,,
363915,1200000,280,-19.9493542,-43.945172,4,4,1,4,401.87,1200,centro-sul,Santo Antônio,43228,Rua Deputado Álvaro Sales,480.0
202983,990000,280,-19.8796435,-43.9105596,4,3,1,4,1015.17,350,nordeste,União,43228,Praça Cajuri,122.0
3235003,1350000,279.56,-19.9459986,-43.9557237,4,4,1,3,401.6,1335.4,centro-sul,Luxemburgo,43228,Rua Doutor Pereira de Melo,296.0
9800,2560000,277,-19.9342705,-43.936346,3,4,1,3,0,1300,centro-sul,Funcionários,43228,,
1673145,1250000,277,-19.9664936,-43.9665288,5,4,2,4,300,635,oeste,Buritis,43228,Rua Professora Bartira Mourão,435.0
33450,1800000,276.57,-19.9336914,-43.9531938,4,3,1,3,204,550,centro-sul,Funcionários,43228,,
3241693,2330000,275,-19.94739522,-43.9578008,4,5,4,3,869.22,2200,centro-sul,Luxemburgo,43228,,
2074033,1590000,274,-19.9351797,-43.937669,4,0,0,0,1304,2486,centro-sul,Savassi,43228,Rua Sergipe ,1274.0
166807,1258800,273,-19.9282507,-43.9454512,2,3,1,2,0,1920,centro-sul,Lourdes,43228,Rua Santa Catarina ,866.0
1951236,3400000,272.62,-19.9787937,-43.9445537,4,5,4,5,1710,3900,centro-sul,Belvedere,43228,,
1922719,1890000,272,-19.9391779,-43.920015,4,4,2,3,533.58,2750,centro-sul,Serra,43228,,
358797,1190000,272,-19.9762976,-43.9642105,4,3,2,4,564.56,688,oeste,Buritis,43228,Rua José Hemetério Andrade,257.0
815094,590000,271.26,-19.953824,-43.9475467,3,4,1,1,89,1050,centro-sul,Vila Paris,43228,,
340426,1700000,270,-19.9458096,-43.9288708,3,3,1,2,620,1600,centro-sul,Cruzeiro,43228,Rua Bráz Cubas,199.0
50594,1600000,270,-19.939794,-43.924239,4,4,4,3,470.17,1600,centro-sul,Serra,43228,,
3245123,1190000,270,-19.9478693,-43.9230439,4,4,2,2,424.13,1760,centro-sul,Cruzeiro,43228,,
3239749,980000,270,-19.8811836,-43.9228306,4,4,2,3,0,0,nordeste,União,43228,Rua Johnson,92.0
192071,900000,270,-19.979894,-43.9743551,5,3,1,2,372.56,450,oeste,Estoril,43228,Avenida Deputado Cristóvam Chiaradia,135.0
351604,1575000,269.95,-19.8609785,-43.9666871,5,5,3,5,400,1100,pampulha,São José (pampulha),43228,,
31588,1590000,264.18,-19.926095,-43.922678,4,6,2,3,570,800,centro-sul,Santa Efigênia,43228,,
40783,1450000,262.02,-19.9588797,-43.9494715,4,4,2,3,595,650,centro-sul,São Bento,43228,,
207676,950000,260.25,-19.87394,-43.9826291,4,4,2,3,323.44,1262,pampulha,Ouro Preto,43228,,
3254267,1860000,260,-19.960416,-43.928878,4,4,2,3,233.25,1230,centro-sul,Sion,43228,,
133495,1800000,260,-19.9738487,-43.9708853,5,5,3,5,570.5,1000,oeste,Buritis,43228,Rua Sílvio de Oliveira Martins,168.0
20977,1400000,260,-19.910737,-43.9270179,4,3,2,5,369.92,520,nordeste,União,43228,Rua Professor Amedee Peret,463.0
145881,1310000,260,-19.8907939,-43.9251413,5,5,3,4,255.12,700,leste,Cidade Nova,43228,Rua Afonso Pena Júnior,322.0
3252862,1190000,260,-19.9711469,-43.971603,4,5,3,4,344.97,900,oeste,Buritis,43228,,
2261957,1100000,260,-19.9401509,-43.9573291,4,1,1,2,270,1600,oeste,Gutierrez,43228,,
101546,950000,260,-19.9373224,-43.9470593,4,4,1,2,225,1540,centro-sul,Santo Antônio,43228,Avenida Prudente de Morais,195.0
24649,900000,260,-19.9719053,-43.9734125,4,3,2,3,280,684,oeste,Buritis,43228,,
3251600,600000,260,-19.9269,-43.9644521,4,2,0,1,73,350,oeste,Prado,43228,Rua Cura D Ars,588.0
423782,2990000,259.96,-19.936951,-43.939989,4,4,3,3,736,2304.69,centro-sul,Funcionários,43228,Rua Antônio de Albuquerque,1177.0
1609748,2603635,259.53,-19.9361919,-43.955288,4,2,2,4,1,1,oeste,Gutierrez,43228,Rua General Dionísio Cerqueira,200.0
3237809,3250000,259,-19.9374361,-43.9390423,4,5,4,3,759.56,2200,centro-sul,Lourdes,43228,Rua Antônio de Albuquerque,1177.0
143963,1080000,257.41,-19.8750676,-43.9357207,4,3,2,4,277.58,400,nordeste,Palmares,43228,,
124638,990000,256,-19.8882159,-43.999257,4,2,1,4,120,300,pampulha,Pampulha,43228,Rua Conceição Aparecida Augsten,265.0
3246440,1350000,254.81,-19.856983,-43.951306,3,4,1,4,196.01,550,pampulha,Pampulha,43228,Rua Pedro Dutra,127.0
1528667,1280000,254.52,-19.9730685,-43.9671595,4,3,1,4,250,501,oeste,Buritis,43228,Rua José Hemetério Andrade,41.0
1528670,1280000,254.52,-19.9730685,-43.9671595,4,3,1,4,250,501,oeste,Buritis,43228,Rua José Hemetério Andrade,41.0
1908912,3300000,252,-19.9330407,-43.9345413,4,5,4,4,1235.11,3007,centro-sul,Savassi,43228,,
223327,2700000,252,-19.9365253,-43.9297265,4,3,2,3,1091.93,2200,centro-sul,Savassi,43228,,
130134,2100000,251,-19.9465796,-43.9374046,4,4,2,3,500,900,centro-sul,Sion,43228,,
3239194,950000,251,-19.8798933,-43.9967728,4,2,2,3,270,350,pampulha,Ouro Preto,43228,Rua Castelo de Arraiolos,200.0
