Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,
2576940,179000.0,41.0,-19.9219328,-43.9431768,1,1,0,0,500.0,102.0,centro-sul,12/10/2018,Centro,Rua dos Goitacazes,365,
346562,189000.0,45.0,-19.8582916,-43.919923299999994,2,1,0,1,180.0,50.0,nordeste,12/10/2018,São Gabriel,Rua Ana Pereira Menezes,207,
346562,189000.0,45.0,-19.8582916,-43.919923299999994,2,1,0,1,180.0,50.0,norte,12/10/2018,Minaslândia (P Maio),Rua Ana Pereira Menezes,207,
3261749,193500.0,70.32,-19.889399,-43.942586000000006,3,2,0,1,225.0,70.0,leste,12/10/2018,Cidade Nova,Rua Indianópolis,717,
3261749,193500.0,70.32,-19.889399,-43.942586000000006,3,2,0,1,225.0,70.0,nordeste,12/10/2018,Cachoeirinha,Rua Indianópolis,717,
3238778,255000.0,58.0,-19.833215,-43.936342999999965,2,2,1,2,150.0,66.95,norte,12/10/2018,Floramar,Rua Cirandinha,70,
3251533,255000.0,65.0,-19.9698476,-43.96892300000002,3,2,1,1,290.0,89.9,oeste,12/10/2018,Buritis,Rua Ernani Agricola,684,
3234162,290000.0,88.0,-19.924806584607555,-43.946960126953115,2,2,0,0,760.0,85.0,centro-sul,12/10/2018,Centro,Rua dos Timbiras,2500,
3234162,290000.0,88.0,-19.924806584607555,-43.946960126953115,2,2,0,0,760.0,85.0,centro-sul,12/10/2018,Santo Agostinho,Rua dos Timbiras,2500,
3262235,323000.0,97.0,-19.9623998,-43.96563520000001,3,2,1,2,430.0,130.0,oeste,12/10/2018,Buritis,Rua Paulo Piedade Campos,580,
3262235,323000.0,97.0,-19.9623998,-43.96563520000001,3,2,1,2,430.0,130.0,oeste,12/10/2018,Estoril,Rua Paulo Piedade Campos,580,
3253078,359000.0,74.0,-19.9644817,-43.9735938,3,2,1,2,400.0,105.0,oeste,12/10/2018,Estrela Dalva,Rua Frutuoso Viana,198,
1584184,115000.0,50.0,-19.9295286,-44.01764309999999,2,1,0,1,45.0,0.0,noroeste,12/10/2018,Califórnia,Rua José Cláudio Sanches,444,
1584184,115000.0,50.0,-19.9295286,-44.01764309999999,2,1,0,1,45.0,0.0,noroeste,12/10/2018,Camargos,Rua José Cláudio Sanches,444,
2448941,154000.0,43.0,-19.859837,-43.92122610000001,2,1,0,1,200.0,27.36,nordeste,12/10/2018,São Gabriel,Rua Ana Pereira Menezes,207,
3242435,170000.0,55.0,-19.8082124,-43.966747699999985,2,1,0,1,230.0,66.0,pampulha,12/10/2018,Cenáculo,Rua Geralda Rodrigues da Costa,55,
