Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,Unnamed: 17
2576940,179000.0,41.0,-19.9219328,-43.943176799999996,1,1,0,0,500.0,102.0,centro-sul,Centro,Rua dos Goitacazes,365,1.0,
346562,189000.0,45.0,-19.8582916,-43.9199233,2,1,0,1,180.0,50.0,norte,Minaslândia (P Maio),Rua Ana Pereira Menezes,207,1.0,
3261749,193500.0,70.32,-19.889398999999997,-43.94258600000001,3,2,0,1,225.0,70.0,nordeste,Cachoeirinha,Rua Indianópolis,717,1.0,
3238778,255000.0,58.0,-19.833215,-43.93634299999997,2,2,1,2,150.0,66.95,norte,Floramar,Rua Cirandinha,70,1.0,
3234162,290000.0,88.0,-19.924806584607555,-43.946960126953115,2,2,0,0,760.0,85.0,centro-sul,Santo Agostinho,Rua dos Timbiras,2500,1.0,
3262235,323000.0,97.0,-19.962399800000004,-43.96563520000001,3,2,1,2,430.0,130.0,oeste,Estoril,Rua Paulo Piedade Campos,580,1.0,
3253078,359000.0,74.0,-19.964481699999997,-43.973593799999996,3,2,1,2,400.0,105.0,oeste,Estrela Dalva,Rua Frutuoso Viana,198,1.0,
1528565,390000.0,100.0,-19.973893,-43.97038199999997,3,3,1,2,320.0,186.44,oeste,Buritis,Rua Sílvio de Oliveira Martins,135,1.0,
3250256,510000.0,156.21,-19.891477,-43.92951960000005,4,2,1,1,230.0,133.0,nordeste,Silveira,Rua Ilacir Pereira Lima,662,1.0,
1584184,115000.0,50.0,-19.9295286,-44.017643099999994,2,1,0,1,45.0,0.0,noroeste,Camargos,Rua José Cláudio Sanches,444,1.0,
2448941,154000.0,43.0,-19.859837,-43.92122610000001,2,1,0,1,200.0,27.36,nordeste,São Gabriel,Rua Ana Pereira Menezes,207,1.0,
3242435,170000.0,55.0,-19.8082124,-43.96674769999999,2,1,0,1,230.0,66.0,venda-nova,Vila Capri,Rua Geralda Rodrigues da Costa,55,1.0,
2582857,215000.0,54.0,-19.889426999999998,-43.95459199999999,2,1,0,1,160.0,0.0,noroeste,Bom Jesus,Rua Aporé,877,2.0,
1943940,220000.0,60.0,-19.880929300000002,-43.93264729999999,2,1,0,0,486.75,82.0,nordeste,Palmares,Rua Matos da Silveira,11,2.0,
1582520,239000.0,60.0,-19.9596843,-43.96778219999999,3,1,0,1,180.0,26.59,oeste,Estoril,Rua Mário Coutinho,481,2.0,
354832,250000.0,55.0,-19.8835138,-43.99502489999998,2,1,0,1,70.0,60.0,pampulha,Castelo,Rua Castelo de Alcobaça,68,2.0,
956472,280000.0,55.0,-19.90926,-43.93844259999997,2,1,0,1,250.0,65.0,leste,Floresta,Rua Araxá,246,2.0,
1933848,290000.0,82.0,-19.895095,-43.93161499999997,2,1,0,1,500.0,80.91,nordeste,Silveira,Rua Wânia Carvalho Silveira,51,2.0,
3249441,295000.0,75.0,-19.9703555,-43.971880199999994,3,2,0,1,350.0,97.8,oeste,Buritis,Rua Maria Heilbuth Surette,473,2.0,
3237831,300000.0,76.82,-19.9730513,-43.97369029999999,3,2,1,2,340.0,182.81,oeste,Buritis,Rua Maria Heilbuth Surette,565,2.0,
3251562,329000.0,180.0,-19.795249300000002,-43.98647749999998,3,1,1,1,60.0,58.98,venda-nova,Venda Nova,Rua Jordelina Maria do Carmo,210,2.0,
3258785,330000.0,110.0,-19.977632,-43.96898640000001,3,3,1,2,264.0,126.67,oeste,Buritis,Rua Professor Miguel de Souza,125,2.0,
3265794,340000.0,85.2,-19.969618399999998,-43.96896190000001,3,2,1,2,440.0,42.1,oeste,Estoril,Rua Ernani Agricola,601,2.0,
1895372,378000.0,93.0,-19.9376465,-43.98107570000002,3,3,1,1,500.0,66.6,oeste,Nova Suíssa,Rua Geraldo Bicalho,22,2.0,
3236019,399000.0,96.0,-19.9021932,-43.92364429999998,3,3,1,1,330.0,120.43,leste,Sagrada Família,Rua Conselheiro Lafaiete,1996,2.0,
3242039,400000.0,95.0,-19.979689699999998,-43.96552889999998,3,3,3,2,350.0,120.5,oeste,Buritis,Rua Esmeraldo Botelho,235,3.0,
3250034,400000.0,110.0,-19.9783266,-43.96982730000002,3,3,1,2,350.0,140.39,oeste,Buritis,Rua Professor Miguel de Souza,347,3.0,
3238478,420000.0,80.0,-19.884772,-43.93509599999999,3,2,1,2,250.0,150.0,nordeste,Nova Floresta,Rua Ingá,430,3.0,
2876942,430000.0,98.0,-19.9783111,-43.9698363,3,1,1,2,400.0,189.11,oeste,Buritis,Rua Professor Miguel de Souza,275,3.0,
277019,448000.0,85.0,-19.8973217,-43.9356032,3,2,1,2,278.0,156.73,nordeste,Concórdia,Rua Jataí,896,3.0,
3261790,450000.0,105.0,-19.9708164,-43.97031500000003,3,3,1,2,369.0,129.0,oeste,Buritis,Rua Ulisses Marcondes Escobar,195,3.0,
3242227,459000.0,78.44,-19.9831479,-43.9740693,3,1,1,2,670.0,144.0,oeste,Buritis,Avenida Deputado Cristóvam Chiaradia,391,3.0,
180163,475000.0,105.0,-19.9757732,-43.9641914,3,2,1,2,650.0,2300.0,oeste,Buritis,Rua José Hemetério Andrade,430,3.0,
1535932,480000.0,85.0,-19.9156461,-43.923650599999974,3,2,1,2,450.0,122.0,leste,Santa Tereza,Rua Hermilo Alves,193,3.0,
3255453,480000.0,124.0,-19.972749399999998,-43.96892020000002,3,3,1,2,300.0,225.0,oeste,Buritis,Rua Stella Hanriot,260,3.0,
3266536,500000.0,106.0,-19.9690125,-43.960027200000006,3,3,1,2,1000.0,194.0,oeste,Estoril,Rua José Rodrigues Pereira,1218,3.0,
362762,510000.0,117.43,-19.9689658,-43.9722443,3,3,1,2,512.0,278.23,oeste,Estoril,Rua Professor Euclydes Ferreira,235,3.0,
3246840,519000.0,230.0,-19.891944100000003,-43.92550399999999,4,2,1,1,274.0,200.01,leste,Cidade Nova,Rua Francisco de Paula Castro,105,3.0,
345512,540000.0,190.0,-19.8931931,-43.90772279999999,3,3,1,2,195.0,91.0,leste,Santa Inês,Rua Emídio Germano,19,3.0,
3237368,540000.0,150.0,-19.9746561,-43.970306799999996,3,3,2,2,360.0,105.0,oeste,Buritis,Rua Cônsul Walter,150,3.0,
3254232,548000.0,100.0,-19.9710906,-43.97386660000001,3,2,1,2,750.0,187.89,oeste,Buritis,Rua Maria Heilbuth Surette,370,4.0,
3256374,550000.0,97.0,-19.9741823,-43.967199100000016,3,3,1,2,420.0,230.0,oeste,Buritis,Rua Marco Aurélio de Miranda,170,4.0,
3256809,550000.0,110.0,-19.975394899999998,-43.9650891,3,3,1,2,550.0,229.0,oeste,Buritis,Rua José Hemetério Andrade,72,4.0,
3258309,580000.0,100.0,-19.967461,-43.96506899999997,3,3,1,2,609.0,233.0,oeste,Buritis,Rua Vitorio Magnavacca,404,4.0,
3262152,600000.0,150.0,-19.973864000000003,-43.97065199999997,4,3,1,2,640.0,283.0,oeste,Buritis,Rua Sílvio de Oliveira Martins,61,4.0,
3248963,625000.0,232.0,-19.973933499999998,-43.96440059999998,3,4,1,3,350.0,140.0,oeste,Buritis,Rua Doutor Lucídio Avelar,225,4.0,
