ImovelID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero
2576940,179000,41,-19.9219328,-43.9431768,1,1,0,0,102,500,centro-sul,Centro,29/08/18,Rua dos Goitacazes,365
346562,189000,45,-19.8582916,-43.9199233,2,1,0,1,50,180,norte,Minaslândia (P Maio),29/08/18,Rua Ana Pereira Menezes,207
3238778,270000,58,-19.833215,-43.936343,2,2,1,2,66.95,150,norte,Floramar,29/08/18,Rua Cirandinha,70
3234162,290000,88,-19.92480658,-43.94696013,2,2,0,0,85,760,centro-sul,Santo Agostinho,29/08/18,Rua dos Timbiras,2500
3253078,359000,74,-19.9644817,-43.9735938,3,2,1,2,105,400,oeste,Estrela Dalva,29/08/18,Rua Frutuoso Viana,198
1528565,390000,100,-19.973893,-43.970382,3,3,1,2,186.44,320,oeste,Buritis,29/08/18,Rua Sílvio de Oliveira Martins,135
365494,430000,92,-19.96967035,-43.96984645,3,2,1,2,180,275,oeste,Buritis,29/08/18,Rua Lauro Ferreira,63
3250256,510000,156.21,-19.891477,-43.9295196,4,2,1,1,133,230,nordeste,Silveira,29/08/18,Rua Ilacir Pereira Lima,662
3249227,250000,70,-19.96327182,-43.96468546,2,1,1,2,84,522,oeste,Estoril,29/08/18,Rua Engenheiro Godofredo dos Santos,104
1584184,115000,50,-19.9295286,-44.0176431,2,1,0,1,0,45,noroeste,Camargos,29/08/18,Rua José Cláudio Sanches,444
2448941,154000,43,-19.859837,-43.9212261,2,1,0,1,27.36,200,nordeste,São Gabriel,29/08/18,Rua Ana Pereira Menezes,207
3242435,170000,55,-19.8082124,-43.9667477,2,1,0,1,66,230,venda-nova,Vila Capri,29/08/18,Rua Geralda Rodrigues da Costa,55
2582857,215000,54,-19.889427,-43.954592,2,1,0,1,0,160,noroeste,Bom Jesus,29/08/18,Rua Aporé,877
348899,220000,65,-19.8949403,-43.93043095,2,1,0,1,65,350,nordeste,Silveira,29/08/18,Rua Jataí,60
1943940,220000,60,-19.8809293,-43.9326473,2,1,0,0,82,486.75,nordeste,Palmares,29/08/18,Rua Matos da Silveira,11
1582520,239000,60,-19.9596843,-43.9677822,3,1,0,1,26.59,180,oeste,Estoril,29/08/18,Rua Mário Coutinho,481
354832,250000,55,-19.8835138,-43.9950249,2,1,0,1,60,70,pampulha,Castelo,29/08/18,Rua Castelo de Alcobaça,68
956472,280000,55,-19.90926,-43.9384426,2,1,0,1,65,250,leste,Floresta,29/08/18,Rua Araxá,246
1933848,290000,82,-19.895095,-43.931615,2,1,0,1,80.91,500,nordeste,Silveira,29/08/18,Rua Wânia Carvalho Silveira,51
3249441,295000,75,-19.9703555,-43.9718802,3,2,0,1,97.8,350,oeste,Buritis,29/08/18,Rua Maria Heilbuth Surette,473
3237831,300000,76.82,-19.9730513,-43.9736903,3,2,1,2,182.81,340,oeste,Buritis,29/08/18,Rua Maria Heilbuth Surette,565
3251562,329000,180,-19.7952493,-43.9864775,3,1,1,1,58.98,60,venda-nova,Venda Nova,29/08/18,Rua Jordelina Maria do Carmo,210
3258785,330000,110,-19.977632,-43.9689864,3,3,1,2,126.67,264,oeste,Buritis,29/08/18,Rua Professor Miguel de Souza,125
3242187,372000,107.41,-19.8875294,-43.921787,3,2,1,1,119.12,250,nordeste,União,29/08/18,Rua Inspetor Nilo Seabra,116
1895372,378000,93,-19.9376465,-43.9810757,3,3,1,1,66.6,500,oeste,Nova Suíssa,29/08/18,Rua Geraldo Bicalho,22
3236019,399000,96,-19.9021932,-43.9236443,3,3,1,1,120.43,330,leste,Sagrada Família,29/08/18,Rua Conselheiro Lafaiete,1996
3242039,400000,95,-19.9796897,-43.9655289,3,3,3,2,120.5,350,oeste,Buritis,29/08/18,Rua Esmeraldo Botelho,235
3250034,400000,110,-19.9783266,-43.9698273,3,3,1,2,140.39,350,oeste,Buritis,29/08/18,Rua Professor Miguel de Souza,347
3238478,420000,80,-19.884772,-43.935096,3,2,1,2,150,250,nordeste,Nova Floresta,29/08/18,Rua Ingá,430
2876942,430000,98,-19.9783111,-43.9698363,3,1,1,2,189.11,400,oeste,Buritis,29/08/18,Rua Professor Miguel de Souza,275
277019,448000,85,-19.8973217,-43.9356032,3,2,1,2,156.73,278,nordeste,Concórdia,29/08/18,Rua Jataí,896
3261790,450000,105,-19.9707644,-43.9697732,3,3,1,2,129,369,oeste,Buritis,29/08/18,Rua Ulisses Marcondes Escobar,195
